"S","ID","Rank1","real","Rank2"
-6.3316169,"PV-006626006653",2451,"not active",2026
-6.3316035,"PV-009688079545",2452,"not active",
-6.3315725,"PV-008722742896",2453,"not active",
-6.3313842,"PV-006888761293",2454,"not active",
-6.3313661,"PV-006647089902",2455,"not active",1378
-6.3312488,"PV-008150878865",2456,"not active",189
-6.3311305,"PV-008876512358",2457,"not active",
-6.3310809,"PV-007816710879",2458,"not active",1089
-6.3309546,"PV-001476617704",2459,"not active",1588
-6.3309441,"PV-000470088498",2460,"not active",
-6.330853,"PV-004156938586",2462,"not active",
-6.3307452,"PV-007879728694",2463,"not active",
-6.3306713,"PV-004978243028",2464,"not active",
-6.3305407,"PV-007246962670",2466,"not active",
-6.3304672,"PV-008935365019",2467,"not active",
-6.3303976,"PV-006274471997",2468,"not active",
-6.3302789,"PV-009652480462",2469,"not active",
-6.3299828,"PV-005796233702",2470,"not active",
-6.3296852,"PV-009158549169",2471,"not active",
-6.3295932,"PV-009301047857",2472,"not active",
-6.3293757,"PV-009383842930",2473,"not active",
-6.3293586,"PV-003647308646",2474,"not active",
-6.3293028,"PV-002608848234",2475,"not active",
-6.3292818,"PV-005235313720",2476,"not active",1410
-6.3292522,"PV-009497215079",2477,"not active",
-6.329124,"PV-005215348526",2478,"not active",
-6.3290892,"PV-002783554555",2479,"not active",
-6.3290162,"PV-005480230153",2481,"not active",
-6.3288274,"PV-001638749796",2482,"not active",1064
-6.3285332,"PV-005315289333",2485,"not active",
-6.3282852,"PV-004486487435",2486,"not active",
-6.32827,"PV-003816021769",2487,"not active",
-6.3282681,"PV-006010069693",2488,"not active",1548
-6.3281927,"PV-003692136238",2489,"not active",
-6.3281827,"PV-008358419555",2490,"not active",
-6.3279858,"PV-004251111774",2493,"not active",
-6.3276935,"PV-009947190095",2494,"not active",617
-6.3276782,"PV-005219335117",2495,"not active",
-6.3271699,"PV-005599941673",2497,"not active",123
-6.3271098,"PV-006176579696",2498,"not active",
-6.3270941,"PV-006602835253",2499,"not active",
-6.3268595,"PV-009950670600",2500,"not active",
-6.3268313,"PV-005762134531",2501,"not active",
-6.3267498,"PV-009874475004",2502,"not active",
-6.3267035,"PV-006188280095",2503,"not active",
-6.3267016,"PV-005272010541",2504,"not active",1319
-6.3266745,"PV-009100198412",2505,"not active",
-6.3266411,"PV-007611576165",2506,"not active",
-6.3266001,"PV-008770461213",2507,"not active",
-6.3263569,"PV-009727687057",2508,"not active",
-6.3262753,"PV-004809158504",2510,"not active",
-6.3262744,"PV-006733812883",2511,"not active",
-6.3262062,"PV-007850763504",2512,"not active",
-6.3261223,"PV-008225293381",2513,"not active",
-6.3260012,"PV-007314602219",2514,"not active",191
-6.3257623,"PV-008751582864",2515,"not active",
-6.3256483,"PV-004011461690",2516,"not active",
-6.3255892,"PV-004620965356",2517,"not active",
-6.3254895,"PV-007172815509",2518,"not active",
-6.3253293,"PV-009516786346",2519,"not active",
-6.3252115,"PV-008679382467",2520,"not active",
-6.3249207,"PV-006732369378",2522,"not active",
-6.3246775,"PV-007356340190",2523,"not active",969
-6.3246493,"PV-001671671239",2524,"not active",985
-6.3245673,"PV-006293021968",2525,"not active",
-6.3244305,"PV-009946242564",2526,"not active",
-6.3242841,"PV-006024866307",2528,"not active",285
-6.3242636,"PV-003909500604",2529,"not active",
-6.3240557,"PV-000464181635",2530,"not active",62
-6.3238831,"PV-009925352308",2532,"not active",
-6.3238149,"PV-008520847044",2533,"not active",
-6.3237157,"PV-000491204503",2534,"not active",
-6.323657,"PV-004991947998",2535,"not active",
-6.3235812,"PV-006864258176",2537,"not active",
-6.3234429,"PV-006319198024",2538,"not active",
-6.3234119,"PV-009094412255",2539,"not active",
-6.3233547,"PV-004555649001",2540,"not active",
-6.3232331,"PV-005388513063",2541,"not active",
-6.3230667,"PV-009423105100",2542,"not active",1924
-6.3229766,"PV-005255614981",2543,"not active",
-6.3228636,"PV-009991402443",2544,"not active",
-6.322753,"PV-009231882753",2545,"not active",471
-6.3226023,"PV-002713875911",2546,"not active",1036
-6.3223834,"PV-000358799993",2547,"not active",
-6.3222814,"PV-007123914159",2548,"not active",
-6.3222771,"PV-005038387982",2549,"not active",
-6.3222241,"PV-004731337822",2550,"not active",
-6.3221912,"PV-007212554891",2551,"not active",
-6.3221211,"PV-008874624322",2552,"not active",
-6.3221011,"PV-005344968210",2553,"not active",140
-6.3213882,"PV-005420916534",2557,"not active",
-6.3212891,"PV-009426768998",2558,"not active",369
-6.3212509,"PV-006684090339",2559,"not active",
-6.3212337,"PV-007549228071",2560,"not active",
-6.3211999,"PV-009768707161",2561,"not active",
-6.3210406,"PV-009409076993",2563,"not active",
-6.3210211,"PV-009547415008",2564,"not active",
-6.3209629,"PV-000453842786",2566,"not active",
-6.3208938,"PV-009861456792",2567,"not active",
-6.3207979,"PV-009214554753",2568,"not active",
-6.3204632,"PV-009091304894",2569,"not active",
-6.3204575,"PV-007128469148",2570,"not active",
-6.3203001,"PV-003346629346",2571,"not active",
-6.3200974,"PV-007353050846",2572,"not active",
-6.3199859,"PV-005645314638",2573,"not active",
-6.3197694,"PV-004795122678",2574,"not active",
-6.3196464,"PV-004454533552",2575,"not active",802
-6.3195329,"PV-009088234744",2576,"not active",
-6.319448,"PV-009881481399",2577,"not active",
-6.3193111,"PV-008455879752",2578,"not active",
-6.3192577,"PV-008006173402",2579,"not active",
-6.3191638,"PV-005863833283",2580,"not active",
-6.3191133,"PV-000269705394",2581,"not active",
-6.3190742,"PV-006597031221",2582,"not active",
-6.3190374,"PV-009841067044",2583,"not active",
-6.3189259,"PV-004121142860",2584,"not active",
-6.3188853,"PV-008500154605",2585,"not active",
-6.3187943,"PV-005862849111",2586,"not active",
-6.3187833,"PV-006730469792",2587,"not active",
-6.3186493,"PV-006302647213",2588,"not active",
-6.3184495,"PV-003430462226",2591,"not active",575
-6.3183861,"PV-009107411090",2592,"not active",31
-6.3183179,"PV-009682474484",2593,"not active",
-6.3182859,"PV-000432237636",2595,"not active",
-6.3182411,"PV-004864714968",2596,"not active",674
-6.3182402,"PV-004260227981",2597,"not active",
-6.3180952,"PV-009131404830",2598,"not active",
-6.3180733,"PV-007650921018",2599,"not active",
-6.3180313,"PV-005001038975",2600,"not active",
-6.3178763,"PV-009825370979",2601,"not active",1324
-6.317872,"PV-008237987964",2602,"not active",810
-6.3177142,"PV-006342251042",2603,"not active",
-6.3176413,"PV-003193794097",2604,"not active",
-6.3174863,"PV-009340994058",2605,"not active",
-6.3173728,"PV-008471065980",2606,"not active",
-6.3173389,"PV-005695593728",2607,"not active",
-6.3173156,"PV-009992174900",2608,"not active",
-6.3172865,"PV-005127051783",2609,"not active",
-6.3172207,"PV-003330107716",2610,"not active",
-6.3171234,"PV-005391085302",2611,"not active",844
-6.3167405,"PV-007456484316",2612,"not active",
-6.3165355,"PV-008345346668",2613,"not active",
-6.3165159,"PV-001695665216",2614,"not active",
-6.3163776,"PV-000444658998",2615,"not active",
-6.3161263,"PV-003749417882",2617,"not active",
-6.3161211,"PV-008152664763",2618,"not active",
-6.3160686,"PV-009336801645",2619,"not active",
-6.3160644,"PV-007802854522",2620,"not active",
-6.3159828,"PV-009156199623",2621,"not active",
-6.3158274,"PV-009684561874",2624,"not active",
-6.315753,"PV-007535874126",2625,"not active",
-6.3155317,"PV-002693163232",2626,"not active",
-6.3153863,"PV-005390001820",2627,"not active",
-6.3153362,"PV-005521660613",2628,"not active",
-6.3152733,"PV-004649716821",2629,"not active",1129
-6.3151588,"PV-007159700601",2630,"not active",
-6.3151221,"PV-009745490369",2631,"not active",
-6.3150311,"PV-004954029803",2632,"not active",
-6.3149672,"PV-008175411632",2633,"not active",
-6.3149505,"PV-006356877119",2634,"not active",
-6.3148956,"PV-006306542449",2635,"not active",1256
-6.3148456,"PV-007163327912",2636,"not active",
-6.3147974,"PV-009185145185",2637,"not active",811
-6.3146219,"PV-004550113277",2639,"not active",
-6.3146105,"PV-006041994548",2640,"not active",
-6.3144779,"PV-008478636228",2641,"not active",
-6.3144321,"PV-003532997474",2642,"not active",
-6.3142781,"PV-004863529428",2644,"not active",
-6.3142381,"PV-001410434777",2645,"not active",
-6.3141627,"PV-009857826439",2646,"not active",
-6.3141503,"PV-005053102236",2647,"not active",
-6.3139157,"PV-001074807059",2649,"not active",
-6.3138528,"PV-007521633240",2650,"not active",
-6.3137889,"PV-006815006453",2651,"not active",
-6.3132691,"PV-006644240973",2653,"not active",
-6.3132005,"PV-009451214479",2655,"not active",
-6.3129044,"PV-001755477785",2656,"not active",
-6.3128715,"PV-009153688890",2657,"not active",
-6.3127642,"PV-000592719391",2658,"not active",
-6.3126531,"PV-006979238558",2659,"not active",265
-6.3126149,"PV-005785889011",2660,"not active",
-6.3125396,"PV-008983215940",2661,"not active",948
-6.3124752,"PV-000548254562",2662,"not active",
