"ID","S","Rank","real"
"Z1344616795",-6.4005175,1807,"not active"
"Z1716948544",-6.3999858,1811,"not active"
"Z2904840803",-6.3995533,1818,"not active"
"Z281223806",-6.3992271,1820,"not active"
"Z5118530853",-6.39816,1830,"not active"
"Z5630705107",-6.3975296,1840,"not active"
"Z3101265052",-6.3973866,1843,"not active"
"Z352739686",-6.396769,1847,"not active"
"Z1393031212",-6.3950734,1858,"not active"
"Z7579725695",-6.394649,1863,"not active"
"Z1249308492",-6.3943968,1865,"not active"
"Z1973800727",-6.3924661,1886,"not active"
"Z1255538578",-6.3907433,1902,"not active"
"Z7783320906",-6.390296,1905,"not active"
"Z7753032751",-6.3894763,1916,"not active"
"Z4056178143",-6.3887405,1925,"not active"
"Z4345117731",-6.3882442,1930,"not active"
"Z5294993598",-6.3874388,1938,"not active"
"Z4012699514",-6.3864403,1941,"not active"
"Z5197050440",-6.384922,1954,"not active"
"Z2701797111",-6.383389,1962,"not active"
"Z758144322",-6.3830605,1968,"not active"
"Z5339361382",-6.3811445,1984,"not active"
"Z2222423456",-6.3807216,1991,"not active"
"Z5294210651",-6.3790507,2002,"not active"
"Z3694863039",-6.379045,2003,"not active"
"Z3552144963",-6.3790178,2004,"not active"
"Z1518579369",-6.3782086,2010,"not active"
"Z1510530695",-6.3767052,2025,"not active"
"Z3204495042",-6.3744226,2045,"not active"
"Z5479608466",-6.3736229,2046,"not active"
"Z1815285245",-6.372045,2058,"not active"
"Z2644773554",-6.3717332,2061,"not active"
"Z2287778427",-6.3716359,2063,"not active"
"Z7037888690",-6.370285,2082,"not active"
"Z2094960089",-6.3696165,2087,"not active"
"Z1497186606",-6.369503,2089,"not active"
"Z7463824728",-6.3692422,2090,"not active"
"Z1002268112",-6.3660011,2119,"not active"
"Z1668112950",-6.3659859,2120,"not active"
"Z3469032816",-6.3659716,2121,"not active"
"Z3622045997",-6.3653302,2125,"not active"
"Z4595522370",-6.3646493,2127,"not active"
"Z3870215126",-6.362042,2149,"not active"
"Z3535166060",-6.3618512,2152,"not active"
"Z3695069477",-6.3610578,2159,"not active"
"Z1429634242",-6.3606138,2164,"not active"
"Z1510511561",-6.3602443,2170,"not active"
"Z4960934091",-6.3585558,2182,"not active"
"Z6383249689",-6.3581905,2186,"not active"
"Z4399026162",-6.3575191,2191,"not active"
"Z2699830231",-6.3562484,2201,"not active"
"Z6365068724",-6.3555031,2205,"not active"
"Z1683231710",-6.3551283,2211,"not active"
"Z796192702",-6.354588,2221,"not active"
"Z1787838917",-6.3499413,2258,"not active"
"Z1235252394",-6.3495088,2261,"not active"
"Z6201174335",-6.3489199,2267,"not active"
"Z5592474493",-6.3480144,2278,"not active"
"Z4149710708",-6.3460183,2293,"not active"
"Z6321760195",-6.346015,2294,"not active"
"Z2641456270",-6.3458991,2296,"not active"
"Z2360914678",-6.3455863,2300,"not active"
"Z5252874121",-6.3450074,2306,"not active"
"Z3899446084",-6.3447785,2307,"not active"
"Z4078880024",-6.3445606,2309,"not active"
"Z1185470452",-6.3441839,2316,"not active"
"Z1822590013",-6.3439989,2319,"not active"
"Z7041139354",-6.3413339,2350,"not active"
"Z2356065629",-6.3405027,2358,"not active"
"Z1545992459",-6.3403978,2360,"not active"
"Z5192944980",-6.3386369,2373,"not active"
"Z6225129648",-6.3383484,2374,"not active"
"Z7231413056",-6.3375998,2380,"not active"
"Z2853226104",-6.3373446,2388,"not active"
"Z3520989028",-6.3367095,2392,"not active"
"Z4242562162",-6.3342714,2424,"not active"
"Z4172275565",-6.3337417,2433,"not active"
"Z4092680906",-6.3330579,2440,"not active"
"Z5586794102",-6.3309045,2461,"not active"
"Z3595895160",-6.3305688,2465,"not active"
"Z2482230323",-6.3290205,2480,"not active"
"Z5591084308",-6.3285894,2483,"not active"
"Z7779565722",-6.3285356,2484,"not active"
"Z4475336717",-6.3281441,2491,"not active"
"Z2613405083",-6.3280458,2492,"not active"
"Z3723788368",-6.3276381,2496,"not active"
"Z3998947223",-6.3263369,2509,"not active"
"Z3598939926",-6.3250017,2521,"not active"
"Z5456426980",-6.3243461,2527,"not active"
"Z1587747758",-6.3240304,2531,"not active"
"Z4432162107",-6.3236547,2536,"not active"
"Z7638224139",-6.3220024,2554,"not active"
"Z2767526078",-6.3219485,2555,"not active"
"Z5583722626",-6.321795,2556,"not active"
"Z3100858833",-6.3210416,2562,"not active"
"Z2915358823",-6.3209934,2565,"not active"
"Z3298518595",-6.3185577,2589,"not active"
"Z7702264542",-6.3185239,2590,"not active"
"Z3475219474",-6.3183155,2594,"not active"
"Z4088494633",-6.3161526,2616,"not active"
"Z1065710822",-6.3159003,2622,"not active"
"Z4570109448",-6.3158345,2623,"not active"
"Z6184879652",-6.3146291,2638,"not active"
"Z3854737004",-6.3143129,2643,"not active"
"Z3712549790",-6.3139172,2648,"not active"
"Z2801379573",-6.3134184,2652,"not active"
"Z3892631493",-6.3132396,2654,"not active"
"Z2862943123",-6.3124704,2663,"not active"
"Z3722236399",-6.3110747,2678,"not active"
"Z6127341854",-6.3108697,2679,"not active"
"Z3047039978",-6.3104949,2683,"not active"
"Z1200449075",-6.3100533,2687,"not active"
"Z7714454970",-6.3092775,2695,"not active"
"Z2457446537",-6.3082952,2709,"not active"
"Z7731152301",-6.304646,2746,"not active"
"Z5425064458",-6.302732,2768,"not active"
"Z5599911741",-6.3014522,2779,"not active"
"Z6084028801",-6.3014164,2780,"not active"
"Z1232340475",-6.3010974,2789,"not active"
"Z5279413232",-6.3001904,2801,"not active"
"Z4298328035",-6.2988572,2817,"not active"
"Z2954925366",-6.2985044,2821,"not active"
"Z3602571516",-6.2977562,2826,"not active"
"Z795544808",-6.2973919,2829,"not active"
"Z1634989447",-6.2966409,2843,"not active"
"Z2027558661",-6.2949138,2864,"not active"
"Z3347490663",-6.294311,2868,"not active"
"Z4100994586",-6.2929125,2887,"not active"
"Z2362774597",-6.2927632,2890,"not active"
"Z1365862600",-6.2920442,2899,"not active"
"Z1841575319",-6.2917318,2903,"not active"
"Z6287430851",-6.2917075,2904,"not active"
"Z1023612562",-6.291038,2911,"not active"
"Z5326678618",-6.2906623,2914,"not active"
"Z1204917080",-6.2894812,2924,"not active"
"Z1798146347",-6.2892046,2927,"not active"
"Z1212914614",-6.288897,2929,"not active"
"Z195726766",-6.2885571,2934,"not active"
"Z4579470345",-6.2885208,2935,"not active"
"Z4146123619",-6.2860017,2963,"not active"
"Z402770192",-6.2854447,2970,"not active"
"Z1951396529",-6.2847705,2981,"not active"
"Z6665211693",-6.2842207,2986,"not active"
"Z7743667268",-6.2841563,2988,"not active"
"Z7256073801",-6.2836614,2992,"not active"
"Z2301871224",-6.2834945,2995,"not active"
"Z2719573440",-6.2824326,3008,"not active"
"Z6048156498",-6.2821975,3010,"not active"
"Z3335891671",-6.2802138,3027,"not active"
"Z1433883916",-6.2799015,3033,"not active"
"Z5631547324",-6.2791786,3040,"not active"
"Z3682610473",-6.2771549,3049,"not active"
"Z1884666659",-6.2768884,3050,"not active"
"Z952725768",-6.2766557,3052,"not active"
"Z5051799812",-6.2759056,3061,"not active"
"Z2457827696",-6.2735085,3088,"not active"
